ID	TD1	TD2	BM1	TD3	BM2	BM3	TD4	TD5	TD6	BM4	TD7	TD8	BM5	TD9	BM6	BM7	BM8	BM9	TD10	BM10
ID_141278	1.43225e-07	2.12403e-07	2.87131e-06	1.12853e-07	0	5.42429e-06	1.5811e-08	0	6.2804e-07	2.71308e-06	1.52705e-07	0	0	0	4.60717e-06	2.48271e-06	2.24763e-07	0	0	0
ID_141581	0	4.76269e-06	0	1.19617e-06	0	0	8.28809e-06	1.06854e-05	2.51898e-05	3.78771e-06	1.1787e-05	2.62086e-05	0	4.20851e-06	0	0	0	0	9.3226e-06	7.62724e-07
ID_141742	0	6.40121e-08	0	0	0	0	0	0	0	8.01775e-07	4.67376e-07	0	0	0	0	0	0	0	0	0
ID_141829	1.26926e-06	4.52719e-06	6.48388e-07	5.26399e-08	0	0	2.40267e-06	0	4.43307e-06	0	1.19832e-06	1.75408e-05	0	2.4769e-06	0	0	0	0	0	5.94925e-07
ID_141855	1.66738e-06	2.61801e-06	1.68096e-07	1.01214e-07	0	8.4088e-08	4.52246e-06	2.72137e-06	3.57736e-06	1.51159e-06	3.13258e-06	5.51495e-06	0	2.3157e-06	0	7.71642e-07	0	0	1.31976e-05	1.14507e-07
ID_141879	3.65656e-07	1.49987e-06	0	1.04963e-06	0	0	6.49535e-06	4.06714e-06	2.296e-06	1.05767e-06	2.06997e-06	2.8785e-05	0	8.87797e-06	0	4.52274e-06	2.74461e-07	0	0	0
ID_141881	4.49307e-07	1.78535e-07	0	0	0	0	0	0	2.43466e-06	0	0	1.40245e-05	0	3.84359e-06	0	0	0	0	7.50856e-07	0
ID_141994	1.99671e-06	2.67885e-06	1.50564e-07	7.06624e-07	0	3.00783e-07	4.0454e-06	6.06356e-06	1.49053e-05	5.04987e-07	3.01975e-06	1.26142e-05	8.78044e-07	5.00443e-06	0	1.3892e-06	8.40144e-08	0	1.96554e-05	5.12866e-07
ID_142182	1.16607e-05	0	1.64711e-07	2.65525e-06	0	0	0	3.3684e-06	4.49015e-06	0	1.53378e-07	1.08446e-06	2.85093e-06	3.12495e-06	7.81124e-07	0	0	0	3.0891e-05	4.48436e-07
ID_142261	0	5.30964e-07	3.83332e-06	0	0	0	5.06727e-07	1.55363e-07	0	0	0	3.81265e-07	0	1.69961e-06	0	0	0	0	1.02629e-07	0
ID_142309	6.99594e-06	5.63881e-07	4.73403e-06	3.03526e-06	0	1.62209e-07	6.67802e-07	3.92877e-06	4.60388e-06	2.51973e-06	6.19658e-07	2.3321e-06	2.82228e-06	5.31698e-06	3.7729e-07	0	1.79249e-07	0	2.93917e-05	1.04331e-06
ID_142622	1.09326e-05	0	0	4.79171e-06	0	0	0	4.7473e-06	5.80531e-06	0	3.2369e-07	9.50011e-07	7.26139e-07	3.41306e-06	0	0	1.38613e-07	0	4.23446e-05	1.69655e-07
ID_142653	0	0	0	0	0	0	0	0	0	1.51335e-07	6.50888e-08	0	0	0	0	0	0	1.69187e-07	0	0
ID_142749	1.1597e-05	0	1.42185e-07	4.67186e-06	0	0	0	4.70288e-06	6.73437e-06	7.93072e-08	2.78887e-07	1.38605e-06	8.33041e-07	4.14193e-06	0	0	1.59737e-07	0	4.38606e-05	5.8262e-07
ID_142764	0	0	0	0	0	0	0	0	0	0	2.01979e-07	0	0	0	0	0	0	0	0	0
ID_142963	1.34835e-05	0	0	8.49031e-07	0	0	0	3.68324e-06	3.3342e-06	7.94783e-07	2.27486e-07	2.03829e-06	4.07796e-06	4.59168e-06	0	0	0	0	4.48611e-05	4.79778e-07
ID_142995	0	0	0	0	0	0	0	0	0	4.65191e-07	0	0	0	0	0	0	0	0	0	1.89233e-07
ID_143018	0	0	0	0	0	0	0	0	0	1.05893e-06	3.82496e-08	0	0	0	0	1.08395e-06	0	0	0	0
ID_143097	9.52479e-06	0	2.12946e-07	3.10909e-06	0	4.25536e-07	0	3.57814e-06	5.18059e-06	4.79284e-07	5.47352e-07	1.2884e-06	1.22945e-06	2.40283e-06	4.9295e-07	0	0	0	3.7816e-05	1.13639e-06
ID_143371	0	0	0	0	0	0	0	0	0	5.60346e-07	0	0	0	0	0	0	0	0	0	0
ID_143374	3.20934e-07	5.82517e-07	0	0	0	0	0	0	4.13699e-07	7.86642e-07	6.51184e-08	0	0	0	0	9.26599e-07	5.57825e-08	3.77954e-07	0	0
ID_143561	0	0	0	0	0	0	0	0	0	4.3666e-07	0	0	0	0	0	0	0	0	0	0
ID_143692	9.10129e-06	0	9.86614e-08	2.78118e-06	0	0	0	3.44087e-06	5.35183e-06	2.2206e-07	1.60873e-07	1.56088e-06	0	2.606e-06	0	0	1.09949e-07	0	3.3635e-05	1.34396e-07
ID_143747	1.01775e-05	0	0	3.83049e-06	0	0	0	4.84101e-06	5.76278e-06	0	3.30048e-07	1.94749e-06	0	3.5962e-06	0	0	0	0	4.26847e-05	0
ID_144241	3.41761e-07	6.00565e-07	0	1.36925e-07	0	0	3.37476e-06	6.4087e-06	5.62544e-06	4.1926e-07	6.02257e-07	1.60756e-05	1.1039e-06	3.39245e-07	0	0	0	0	1.38878e-06	0
ID_144292	0	1.87526e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_144362	5.43087e-06	0	5.27785e-07	1.89362e-05	0	0	2.83246e-06	0	4.00772e-07	1.14042e-05	1.49251e-06	0	0	3.93504e-05	8.43103e-06	0	0	5.49294e-06	2.04682e-06	1.08923e-05
ID_144393	0	0	0	0	0	0	0	0	0	4.57453e-07	1.97181e-07	0	0	0	0	0	0	0	0	0
ID_144633	0	0	0	0	0	0	0	0	0	1.12922e-06	1.60048e-07	0	0	0	0	0	0	0	0	0
ID_144796	0	0	0	0	0	0	0	0	0	2.16088e-07	7.79157e-08	0	0	0	0	0	0	0	0	0
ID_144869	0	0	0	0	0	0	0	0	0	1.46228e-07	4.26282e-08	0	0	0	0	0	0	0	0	0
ID_144996	0	0	0	0	0	0	0	0	0	4.70106e-07	6.81143e-08	0	0	0	0	0	0	0	0	0
ID_145011	0	1.84491e-07	8.12748e-07	7.03027e-07	0	0	2.13706e-07	1.05436e-07	1.60033e-07	2.79683e-06	4.60159e-07	3.32777e-07	0	1.39598e-06	0	0	0	0	4.3545e-07	0
ID_145071	4.42049e-07	1.6158e-06	0	2.07965e-06	0	0	8.96842e-06	2.23277e-06	3.29611e-07	2.76187e-07	6.05124e-06	8.99585e-06	7.07313e-07	1.02831e-05	0	2.2391e-06	0	0	8.64179e-07	0
ID_145139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00054e-06	0	0	0
ID_145199	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14718e-07	0	0	0	0	0	0
ID_145346	0	3.18656e-08	0	2.8923e-07	0	0	4.80468e-07	6.17772e-08	3.95725e-07	0	3.91366e-08	2.84455e-07	0	7.97228e-07	0	0	0	0	9.01516e-08	0
ID_145443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24153e-07	0	0	0
ID_145472	3.37324e-07	0	0	4.86403e-07	0	0	8.64108e-08	4.95533e-07	2.26957e-07	1.89983e-07	0	0	0	4.53788e-06	0	0	0	0	2.75758e-07	1.23714e-07
ID_145588	4.32472e-06	1.34263e-05	4.33868e-06	1.58553e-05	9.27082e-06	0	1.26302e-05	0	4.20405e-06	0	3.76641e-06	3.10792e-06	9.71057e-06	3.81743e-06	3.26247e-05	0	0	1.84406e-05	1.38016e-05	3.95841e-06
ID_145612	0	1.52166e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_145686	1.92738e-07	6.2336e-08	7.82216e-08	1.88749e-08	2.03104e-06	1.57114e-07	0	0	1.73943e-07	2.30348e-06	2.55298e-07	0	3.21052e-06	0	7.38508e-07	7.26143e-07	7.09485e-07	7.99942e-07	0	3.63202e-06
ID_146049	0	1.10135e-06	0	0	0	0	8.28734e-07	3.27799e-07	7.29343e-08	0	0	1.3062e-06	0	4.91639e-07	0	0	0	0	1.46962e-07	0
ID_146194	0	0	0	0	0	0	3.53915e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_146259	0	0	0	0	0	0	0	0	0	0	0	1.33805e-06	0	0	0	0	0	0	0	0
ID_146339	0	0	0	0	0	0	0	1.68652e-07	0	0	0	1.75456e-07	0	0	0	0	0	0	0	0
ID_146448	5.22636e-08	0	1.53436e-08	1.25843e-07	0	3.07088e-08	7.23465e-09	0	0	0	0	0	0	3.41323e-08	1.45728e-06	0	0	3.86282e-08	2.53845e-08	2.92132e-07
ID_146484	0	0	6.8649e-07	1.645e-07	0	0	9.60468e-08	0	0	0	1.30725e-06	0	0	0	0	0	0	0	2.05095e-07	0
ID_146888	0	0	2.35981e-07	3.40834e-07	0	0	5.5509e-08	0	6.55068e-08	5.31129e-07	5.2996e-07	0	0	2.9214e-06	0	0	0	0	0	3.21003e-07
ID_146973	0	0	2.37312e-07	4.57647e-07	0	0	1.86371e-08	0	6.57881e-08	0	6.94252e-07	0	0	0	0	0	0	0	0	0
ID_147060	0	0	4.23138e-07	2.0333e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
